University,Univ_Rank,Enrollment,Avg_SAT,Avg_ACT,city,state,Latitude,Longitude,univ_rank,enrollment,avg_sat,avg_act,latitude,longitude
Texas Christian University,78.0,8891.0,1070.0,25.0,Fort Worth,TX,32.7811,-97.3473,,,,,,
University of Iowa,78.0,24476.0,1020.0,23.0,Iowa City,IA,41.6559,-91.5303,,,,,,
Clark University,81.0,2289.0,1110.0,27.0,Worcester,MA,42.2705,-71.8079,,,,,,
Florida State University,81.0,32929.0,1110.0,25.0,Tallahassee,FL,30.4551,-84.2526,,,,,,
Michigan State University,81.0,39090.0,990.0,24.0,East Lansing,MI,42.748,-84.4835,,,,,,
North Carolina State University,81.0,23847.0,1170.0,27.0,Raleigh,NC,35.8325,-78.6435,,,,,,
University of California--Santa Cruz,81.0,16962.0,1060.0,23.0,Santa Cruz,CA,36.9789,-122.0346,,,,,,
University of Delaware,81.0,18374.0,1090.0,23.0,Newark,DE,39.6776,-75.7573,,,,,,
Binghamton University--SUNY,87.0,13632.0,1230.0,28.0,Binghamton,NY,42.1014,-75.9093,,,,,,
University of Denver,87.0,5754.0,1110.0,26.0,Denver,CO,39.7621,-104.8759,,,,,,
University of Tulsa,87.0,3406.0,1120.0,26.0,Tulsa,OK,36.1284,-95.9042,,,,,,
Indiana University--Bloomington,90.0,39184.0,1060.0,24.0,Bloomington,IN,39.1637,-86.5257,,,,,,
Marquette University,90.0,8238.0,1040.0,24.0,Milwaukee,WI,43.0642,-87.9673,,,,,,
University of Colorado--Boulder,90.0,27846.0,1070.0,25.0,Boulder,CO,40.0249,-105.2523,,,,,,
University of San Diego,90.0,5711.0,1100.0,26.0,San Diego,CA,32.8312,-117.1225,,,,,,
Drexel University,94.0,13251.0,1080.0,25.0,Philadelphia,PA,40.0077,-75.1339,,,,,,
Saint Louis University,94.0,7454.0,1120.0,24.0,St. Louis,MO,38.6358,-90.2451,,,,,,
Yeshiva University,94.0,2714.0,1090.0,23.0,New York,NY,40.6943,-73.9249,,,,,,
Rochester Institute of Technology,97.0,12410.0,1140.0,26.0,Rochester,NY,43.168,-77.6162,,,,,,
Stony Brook University--SUNY,97.0,17026.0,1150.0,26.0,Stony Brook,NY,40.906,-73.1278,,,,,,
SUNY College of Environmental Science and Forestry,97.0,1755.0,1070.0,23.0,Syracuse,NY,43.0409,-76.1438,,,,,,
University at Buffalo--SUNY,97.0,20411.0,1070.0,24.0,Buffalo,NY,42.9016,-78.8487,,,,,,
University of Oklahoma,97.0,22436.0,1060.0,23.0,Norman,OK,35.2335,-97.3471,,,,,,
University of Vermont,97.0,11159.0,1100.0,25.0,Burlington,VT,44.4877,-73.2314,,,,,,
Auburn University,103.0,22658.0,1060.0,24.0,Auburn,AL,32.6087,-85.4899,,,,,,
Illinois Institute of Technology,103.0,2944.0,1130.0,26.0,Chicago,IL,41.8373,-87.6862,,,,,,
Loyola University Chicago,103.0,11129.0,1030.0,24.0,Chicago,IL,41.8373,-87.6862,,,,,,
University of New Hampshire,103.0,12871.0,990.0,22.0,Durham,NH,43.1336,-70.932,,,,,,
University of Oregon,103.0,20049.0,980.0,22.0,Eugene,OR,44.0563,-123.1173,,,,,,
University of South Carolina,103.0,25556.0,1120.0,25.0,Columbia,SC,34.0376,-80.9037,,,,,,
University of Tennessee,103.0,22139.0,1040.0,24.0,Knoxville,TN,35.9692,-83.9496,,,,,,
Howard University,110.0,5899.0,1040.0,22.0,Washington,DC,38.9047,-77.0163,,,,,,
University of Alabama,110.0,32563.0,980.0,23.0,Tuscaloosa,AL,33.2348,-87.5267,,,,,,
University of San Francisco,110.0,6745.0,1030.0,23.0,San Francisco,CA,37.7562,-122.443,,,,,,
University of the Pacific,110.0,3483.0,1030.0,23.0,Stockton,CA,37.9765,-121.3109,,,,,,
University of Utah,110.0,23789.0,1050.0,21.0,Salt Lake City,UT,40.7777,-111.9306,,,,,,
Arizona State University--Tempe,115.0,42477.0,1020.0,22.0,Tempe,AZ,33.3881,-111.9318,,,,,,
Iowa State University,115.0,30671.0,980.0,22.0,Ames,IA,42.0259,-93.6215,,,,,,
Temple University,115.0,29275.0,1050.0,24.0,Philadelphia,PA,40.0077,-75.1339,,,,,,
University of Kansas,115.0,19262.0,,23.0,Lawrence,KS,38.9597,-95.2641,,,,,,
University of St. Thomas,115.0,6111.0,1050.0,24.0,St. Paul,MN,44.9477,-93.104,,,,,,
The Catholic University of America,120.0,3241.0,1040.0,23.0,Washington,DC,38.9047,-77.0163,,,,,,
DePaul University,120.0,15407.0,1030.0,22.0,Chicago,IL,41.8373,-87.6862,,,,,,
Duquesne University,120.0,6039.0,1055.0,24.0,Pittsburgh,PA,40.4396,-79.9762,,,,,,
University of Missouri,120.0,25898.0,1020.0,23.0,Columbia,MO,38.9478,-92.3256,,,,,,
Clarkson University,124.0,3268.0,1080.0,24.0,Potsdam,NY,44.66,-74.997,,,,,,
Colorado State University,124.0,25177.0,1020.0,22.0,Fort Collins,CO,40.5478,-105.0656,,,,,,
Michigan Technological University,124.0,5829.0,1073.0,25.0,Houghton,MI,47.1119,-88.5672,,,,,,
Seton Hall University,124.0,5956.0,1070.0,23.0,South Orange,NJ,40.7428,-74.2456,,,,,,
University of Arizona,124.0,34072.0,970.0,21.0,Tucson,AZ,32.1545,-110.8782,,,,,,
University of California--Riverside,124.0,19799.0,940.0,21.0,Riverside,CA,33.9381,-117.3948,,,,,,
University of Dayton,124.0,8330.0,1030.0,24.0,Dayton,OH,39.7797,-84.1998,,,,,,
University of Nebraska--Lincoln,124.0,20833.0,990.0,22.0,Lincoln,NE,40.809,-96.6788,,,,,,
Hofstra University,132.0,6899.0,1070.0,24.0,Hempstead,NY,40.7175,-73.6004,,,,,,
Louisiana State University--Baton Rouge,133.0,26118.0,1010.0,23.0,Baton Rouge,LA,30.4418,-91.131,,,,,,
Mercer University,133.0,4706.0,1100.0,25.0,Macon,GA,32.8065,-83.6974,,,,,,
The New School,133.0,7014.0,1030.0,23.0,New York,NY,40.6943,-73.9249,,,,,,
Rutgers University--Newark,133.0,8170.0,910.0,,Newark,NJ,40.7245,-74.1725,,,,,,
University of Arkansas,133.0,22548.0,1010.0,23.0,Fayetteville,AR,36.0713,-94.166,,,,,,
University of Cincinnati,133.0,25860.0,1030.0,23.0,Cincinnati,OH,39.1413,-84.5061,,,,,,
University of Kentucky,133.0,22621.0,980.0,22.0,Lexington,KY,38.0423,-84.4587,,,,,,
George Mason University,140.0,23812.0,1060.0,24.0,Fairfax,VA,38.8531,-77.2998,,,,,,
New Jersey Institute of Technology,140.0,8211.0,1110.0,23.0,Newark,NJ,40.7245,-74.1725,,,,,,
San Diego State University,140.0,29853.0,1000.0,23.0,San Diego,CA,32.8312,-117.1225,,,,,,
University of South Florida,140.0,31461.0,1070.0,24.0,Tampa,FL,27.9942,-82.4451,,,,,,
Washington State University,140.0,24904.0,930.0,20.0,Pullman,WA,46.734,-117.1669,,,,,,
Kansas State University,145.0,19472.0,950.0,22.0,Manhattan,KS,39.1886,-96.6046,,,,,,
Oregon State University,145.0,25327.0,990.0,22.0,Corvallis,OR,44.5697,-123.278,,,,,,
St. John Fisher College,145.0,2786.0,970.0,22.0,Rochester,NY,43.168,-77.6162,,,,,,
University of Illinois--Chicago,145.0,17959.0,990.0,21.0,Chicago,IL,41.8373,-87.6862,,,,,,
University of Mississippi,145.0,19213.0,1000.0,22.0,University,MS,34.3656,-89.5379,,,,,,
University of Texas--Dallas,145.0,17350.0,1140.0,25.0,Richardson,TX,32.9717,-96.7093,,,,,,
Adelphi University,151.0,5205.0,1010.0,22.0,Garden City,NY,40.7266,-73.6447,,,,,,
Florida Institute of Technology,151.0,3629.0,1060.0,24.0,Melbourne,FL,28.1085,-80.6627,,,,,,
Ohio University,151.0,23788.0,990.0,21.0,Athens,OH,39.3269,-82.0988,,,,,,
Seattle Pacific University,151.0,3095.0,990.0,21.0,Seattle,WA,47.6211,-122.3244,,,,,,
University at Albany--SUNY,151.0,13139.0,1010.0,22.0,Albany,NY,42.6664,-73.7987,,,,,,
Oklahoma State University,156.0,21093.0,970.0,21.0,Stillwater,OK,36.1316,-97.074,,,,,,
University of Massachusetts--Lowell,156.0,13639.0,1070.0,24.0,Lowell,MA,42.6389,-71.3217,,,,,,
University of Rhode Island,156.0,14801.0,990.0,22.0,Kingston,RI,41.4738,-71.5236,,,,,,
Biola University,159.0,4091.0,950.0,21.0,La Mirada,CA,33.9025,-118.0093,,,,,,
Illinois State University,159.0,18643.0,,21.0,Normal,IL,40.5218,-88.9881,,,,,,
University of Alabama--Birmingham,159.0,12369.0,965.0,21.0,Birmingham,AL,33.5277,-86.7987,,,,,,
University of Hawaii--Manoa,159.0,13132.0,970.0,21.0,Honolulu,HI,21.3294,-157.846,,,,,,
University of La Verne,159.0,2809.0,930.0,20.0,La Verne,CA,34.1208,-117.7702,,,,,,
University of Maryland--Baltimore County,159.0,11142.0,1120.0,24.0,Baltimore,MD,39.3051,-76.6144,,,,,,
Immaculata University,165.0,1555.0,860.0,18.0,Immaculata,PA,40.0272,-75.5957,,,,,,
Maryville University of St. Louis,165.0,2967.0,900.0,22.0,St Louis,MO,38.6482,-90.5229,,,,,,
Missouri University of Science & Technology,165.0,6909.0,1186.0,25.0,Rolla,MO,37.9458,-91.7608,,,,,,
St. John's University,165.0,16440.0,970.0,22.0,Queens,NY,40.7498,-73.7976,,,,,,
University of California--Merced,165.0,6815.0,860.0,18.0,Merced,CA,37.3057,-120.4778,,,,,,
University of Louisville,165.0,15827.0,1000.0,22.0,Louisville,KY,38.1663,-85.6485,,,,,,
Mississippi State University,171.0,18090.0,990.0,21.0,Mississippi State,MS,33.4515,-88.7913,,,,,,
Rowan University,171.0,14344.0,990.0,,Glassboro,NJ,39.7014,-75.1113,,,,,,
University of Central Florida,171.0,55776.0,1080.0,24.0,Orlando,FL,28.4772,-81.3369,,,,,,
University of Idaho,171.0,9586.0,930.0,21.0,Moscow,ID,46.7307,-116.9986,,,,,,
Virginia Commonwealth University,171.0,24212.0,980.0,21.0,Richmond,VA,37.5295,-77.4756,,,,,,
Kent State University,176.0,23684.0,950.0,21.0,Kent,OH,41.149,-81.361,,,,,,
Robert Morris University,176.0,4384.0,940.0,21.0,Moon Township,PA,40.5211,-80.2115,,,,,,
Texas Tech University,176.0,29963.0,1020.0,22.0,Lubbock,TX,33.5659,-101.8878,,,,,,
Union University,176.0,2214.0,1020.0,23.0,Jackson,TN,35.6535,-88.8353,,,,,,
University of Hartford,176.0,5150.0,920.0,20.0,West Hartford,CT,41.7981,-72.7149,,,,,,
Edgewood College,181.0,1661.0,955.0,21.0,Madison,WI,43.0826,-89.3931,,,,,,
Lesley University,181.0,1929.0,960.0,21.0,Cambridge,MA,42.3759,-71.1185,,,,,,
Lipscomb University,181.0,2986.0,990.0,22.0,Nashville,TN,36.1715,-86.7843,,,,,,
Suffolk University,181.0,5290.0,910.0,20.0,Boston,MA,42.3188,-71.0846,,,,,,
University of Maine,181.0,9323.0,950.0,21.0,Orono,ME,44.8991,-68.6673,,,,,,
University of Wyoming,181.0,9788.0,960.0,21.0,Laramie,WY,41.3099,-105.6085,,,,,,
Azusa Pacific University,187.0,5770.0,930.0,21.0,Azusa,CA,34.1386,-117.9124,,,,,,
Ball State University,187.0,17011.0,990.0,20.0,Muncie,IN,40.1989,-85.395,,,,,,
Montclair State University,187.0,16810.0,870.0,15.0,Montclair,NJ,40.8646,-74.1986,,,,,,
Pace University,187.0,8914.0,940.0,21.0,New York,NY,40.6943,-73.9249,,,,,,
West Virginia University,187.0,22350.0,930.0,21.0,Morgantown,WV,39.638,-79.9468,,,,,,
Andrews University,192.0,1688.0,930.0,21.0,Berrien Springs,MI,41.9474,-86.3403,,,,,,
Indiana University-Purdue University--Indianapolis,192.0,21748.0,890.0,19.0,Indianapolis,IN,39.7771,-86.1458,,,,,,
