id,keywords.id,keywords.score
23,75,60.8669
23,249,84.4959
23,657,341.599
23,845,88.3372
23,1812,968.873
23,4889,126.719
23,5970,80.8316
23,6359,137.146
23,8775,943.104
23,9664,381.583
23,10413,122.155
23,15394,127.597
23,15638,497.502
23,22595,183.461
23,35671,311.344
23,43042,302.888
23,76195,240.164
24,30,19.118
24,693,26.7269
24,908,17.0412
24,1183,29.1411
24,1446,22.5422
24,4656,13.8334
24,5567,18.1579
24,5873,15.1446
24,8657,25.7094
24,17046,26.6116
24,26822,13.0712
24,35636,18.366
24,36816,100.763
24,39577,49.8886
24,47322,9.94644
24,47832,36.9702
24,65518,86.2921
25,815,0.0
25,1175,0.0
25,2171,0.21093
25,2442,0.0
25,2871,0.150429
25,4396,0.0
25,5873,0.0949385
25,6252,0.123257
25,6633,0.058345
25,10108,0.050931
25,11055,0.922239
25,13754,0.104029
25,13878,0.0
25,13913,0.0
25,17200,0.0
25,19607,0.0
25,19864,0.284901
25,28398,0.0
26,32,1006.74
26,58,153.048
26,416,79.1714
26,1299,85.1969
26,1403,117.142
26,1756,90.1622
26,2182,143.584
26,2185,149.137
26,2572,85.4287
26,6997,79.08
26,11445,79.7101
26,15687,173.269
26,17768,111.119
26,20092,150.699
26,21378,95.9402
26,25020,152.322
26,47073,82.9821
27,42,3341.28
27,123,347.295
27,1903,710.939
27,2085,1856.21
27,2368,177.99
27,2962,520.194
27,3681,739.701
27,4606,367.644
27,4732,310.173
27,6766,272.933
27,10698,271.716
27,14211,317.831
27,15727,230.362
27,18860,2766.89
27,23870,310.337
27,37399,243.633
27,52215,219.072
28,749,0.504219
28,2586,0.0151806
28,3354,0.0382473
28,8408,0.0149056
28,10876,0.134026
28,31229,0.0972872
28,43341,0.0149245
28,43504,0.0667907
28,74958,0.114418
29,69,34.3226
29,101,35.5373
29,605,17.6703
29,781,15.8936
29,2127,29.4693
29,2531,17.1121
29,4090,40.7486
29,5385,18.7732
29,5873,23.4283
29,12088,16.2591
29,12334,15.1367
29,15007,15.5102
29,15190,43.4135
29,24250,33.8249
29,31905,21.4312
29,38872,15.6048
29,72411,32.1169
30,76,50.6155
30,1056,47.5514
30,1337,38.2065
30,1352,40.8044
30,1726,66.1287
30,3271,480.142
30,4090,199.349
30,7902,119.727
30,8097,41.8775
30,11735,55.9437
30,13713,82.1066
30,16495,71.2111
30,19983,88.1589
30,20410,46.2878
30,24303,40.469
30,27751,41.3105
30,74536,41.4276
31,4,91.3423
31,186,187.802
31,452,629.074
31,1668,97.4985
31,1735,143.784
31,3149,93.7516
31,3386,332.493
31,3801,389.772
31,4351,173.802
31,11528,100.183
31,14648,192.136
31,15706,154.832
31,16017,157.225
31,19593,123.601
31,25020,130.742
31,25512,106.056
31,78512,714.483
32,42,137.786
32,193,49.8904
32,387,82.1731
32,3681,90.3932
32,4606,101.945
32,4732,196.543
32,6706,52.8513
32,7738,200.441
32,8437,109.583
32,17893,85.2204
32,20268,83.286
32,22466,159.184
32,33895,57.9983
32,37399,224.692
32,60565,98.9695
32,66941,88.1039
32,73755,75.1084
33,106,301.022
33,692,312.118
33,2565,726.751
33,3001,93.3893
33,3262,113.503
33,3345,143.632
33,4595,176.953
33,5854,147.011
33,7213,105.646
33,11461,860.552
33,20134,146.005
33,30946,98.3933
33,32768,86.1008
33,35451,88.0456
33,45115,403.452
33,52291,168.118
33,72609,308.299
34,806,63.3916
34,1883,132.345
34,2091,53.5069
34,2412,76.9904
34,2578,165.641
34,2932,37.9
34,3226,51.731
34,3854,656.52
34,6630,50.2478
34,15140,56.1022
34,19738,597.384
34,26278,270.615
34,30837,33.3351
34,32230,40.7746
34,42885,36.619
34,63632,95.5074
34,75892,110.421
35,16,0.627356
35,298,0.141944
35,322,0.314085
35,394,0.153293
35,413,0.120635
35,438,0.150713
35,3272,0.183397
35,4413,0.11219
35,5791,0.240916
35,10109,0.11602
35,10384,1.51425
35,12142,0.0851656
35,17768,0.215947
35,22244,0.0708135
35,25487,0.208624
35,33820,0.163562
35,34139,0.0999882
36,122,300.486
36,249,385.356
36,382,2220.83
36,945,112.024
36,1079,289.375
36,4235,526.859
36,4336,188.041
36,5015,1084.16
36,7887,139.294
36,8554,227.229
36,8873,496.327
36,9674,388.369
36,13174,265.591
36,20321,465.06
36,31053,115.751
36,38471,355.636
36,43794,147.877
37,4,250.973
37,75,191.142
37,314,291.053
37,328,284.317
37,1568,316.206
37,1741,391.338
37,2085,330.812
37,2483,293.705
